State,Case_#,Distracted
Alabama,10001,While Using or Reaching for Device/Object Brought into Vehicle
Alabama,10002,Not Distracted
Alabama,10003,Not Distracted
Alabama,10004,Not Distracted
Alabama,10004,Not Distracted
Alabama,10005,Not Distracted
Alabama,10006,Not Distracted
Alabama,10006,Not Distracted
Alabama,10007,Not Distracted
Alabama,10008,Not Distracted
Alabama,10009,Adjusting Audio Or Climate Controls
Alabama,10009,No Driver Present/Unknown if Driver present
Alabama,10010,Not Distracted
Alabama,10011,Not Distracted
Alabama,10012,Not Distracted
Alabama,10013,Not Distracted
Alabama,10014,Other Distraction
Alabama,10015,Not Distracted
Alabama,10015,Not Distracted
Alabama,10016,Not Distracted
Alabama,10017,Not Distracted
Alabama,10018,Not Distracted
Alabama,10018,Not Distracted
Alabama,10019,Not Distracted
Alabama,10020,Not Distracted
Alabama,10021,Not Distracted
Alabama,10022,Not Distracted
Alabama,10023,Not Distracted
Alabama,10024,Not Distracted
Alabama,10025,Not Distracted
Alabama,10026,Not Distracted
Alabama,10027,Not Distracted
Alabama,10028,Not Distracted
Alabama,10028,Not Distracted
Alabama,10029,Not Distracted
Alabama,10029,Not Distracted
Alabama,10030,Not Distracted
Alabama,10031,Not Distracted
Alabama,10032,Not Distracted
Alabama,10032,Not Distracted
Alabama,10033,Not Distracted
Alabama,10034,Not Distracted
Alabama,10035,Not Distracted
Alabama,10036,Not Distracted
Alabama,10037,Not Distracted
Alabama,10038,"Distraction (Distracted), Details Unknown"
Alabama,10039,Not Distracted
Alabama,10040,Not Distracted
Alabama,10040,Not Distracted
Alabama,10041,Not Distracted
Alabama,10041,Not Distracted
Alabama,10042,Not Distracted
Alabama,10043,Not Distracted
Alabama,10044,Not Distracted
Alabama,10045,Not Distracted
Alabama,10045,Not Distracted
Alabama,10046,Not Distracted
Alabama,10046,Not Distracted
Alabama,10047,Not Distracted
Alabama,10048,Not Distracted
Alabama,10049,Not Distracted
Alabama,10050,Not Distracted
Alabama,10050,Not Distracted
Alabama,10051,Not Distracted
Alabama,10052,Not Distracted
Alabama,10053,Not Distracted
Alabama,10054,Not Distracted
Alabama,10054,Not Distracted
Alabama,10055,Not Distracted
Alabama,10056,Not Distracted
Alabama,10056,Not Distracted
Alabama,10057,Not Distracted
Alabama,10057,Not Distracted
Alabama,10058,Not Distracted
Alabama,10058,Not Distracted
Alabama,10059,Not Distracted
Alabama,10059,Not Distracted
Alabama,10060,Not Distracted
Alabama,10061,Not Distracted
